ID_cliente;Nobre_cliente;Veces alojamiento;Aloj suma PAX;Aloj prom PAX;Aloj suma NOCHES;Aloj prom NOCHES;Aloj suma VALOR PAX;Aloj prom VALOR PAX2;Aloj suma VR EVENTO;Aloj prom VR EVENTO2;Veces pasadia;Pasadia sum PAX;Pasadia prom PAX;Pasadia sum NOCHES;Pasadia prom NOCHES;Pasadia sum VALOR PAX;Pasadia prom VALOR PAX2;Pasadia sum VR EVENTO;Pasadia prom VR EVENTO2;Veces sin salon;Sin salon sum PAX;Sin salon prom  PAX;Sin salon sum NOCHES;Sin salon prom  NOCHES;Sin salon sum VALOR PAX;Sin salon prom  VALOR PAX2;Sin salon sum VR EVENTO;Sin salon prom  VR EVENTO2;Total veces;Total PAX;Total prom PAX;Total noches;Prom noches;Total val PAX;Promedio valor PAX;Total hotel;Promedio hotel
8015387;Tipo_P_1533;0;0;0;0;0;0;0;0;0;1;45;45;0;0;203336;203336;9150120;9150120;0;0;0;0;0;0;0;0;0;1;45;45;0;0;203336;203336;9150120;9150120
8017998;Tipo_PN_34164;1;165;165;1;1;221267;221267;50029855;50029855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;165;165;1;1;221267;221267;50029855;50029855
8020080;Tipo_P_297;1;38;38;1;1;242051;242051;13174338;13174338;0;0;0;0;0;0;0;0;0;1;92;92;2;2;232753;232753;62128852;62128852;2;130;65;3;1,5;474804;237402;75303190;37651595
8025824;Tipo_P_64501;1;50;50;4;4;273956;273956;59247900;59247900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;50;50;4;4;273956;273956;59247900;59247900
8026439;Tipo_P_7713;0;0;0;0;0;0;0;0;0;1;40;40;0;0;111750;111750;4470000;4470000;0;0;0;0;0;0;0;0;0;1;40;40;0;0;111750;111750;4470000;4470000
8031680;Tipo_P_2752;1;45;45;1;1;215150;215150;14070350;14070350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;45;45;1;1;215150;215150;14070350;14070350
8033383;Tipo_P_64347;1;89;89;3;3;152243;152243;47256081;47256081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;89;89;3;3;152243;152243;47256081;47256081
8033883;Tipo_P_669;1;2;2;3;3;242900;242900;1457400;1457400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;242900;242900;1457400;1457400
8039525;Tipo_P_2041;0;0;0;0;0;0;0;0;0;1;39;39;0;0;43300;43300;1688700;1688700;0;0;0;0;0;0;0;0;0;1;39;39;0;0;43300;43300;1688700;1688700
8048072;Tipo_P_1365;1;76;76;2;2;245474;245474;37312048;37312048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;76;76;2;2;245474;245474;37312048;37312048
