ID_Cliente;Nombre_cliente;CEF;CLUB 200;CLUB CAMPESTRE;CSDE;CUR;F;FUERA DE SEDE;SEDE 95;VIRTUAL;ASAMBLEAS;CAPACITACIONES;CONGRESOS;CONVENCIONES;CULTURALES;FERIAS;FIESTAS Y CELEBRACIONES;LANZAMIENTOS;OTRO;RECREATIVOS;REUNIONES;SEMINARIOS;SOCIALES;Total Eventos
8000622;Tipo_D_6;0;73668548;0;1039291;0;0;1983492573;16536463;0;0;8727246;0;0;0;0;1105683094;0;0;906742844;53583691;0;0;2074736875
8001217;Tipo_P_1654;0;0;0;1800000;0;0;0;788248,8;0;0;788248,8;0;0;0;0;0;0;0;0;1800000;0;0;2588248,8
8001928;Tipo_P_1443;0;0;0;2852157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2852157;0;0;2852157
8005183;Tipo_P_2094;0;0;0;0;0;0;1320000;0;0;0;0;0;0;0;0;0;0;0;0;1320000;0;0;1320000
8007068;Tipo_PN_34444;0;0;0;1680000;0;0;0;0;0;0;1680000;0;0;0;0;0;0;0;0;0;0;0;1680000
8007088;Tipo_PN_34299;0;0;2468530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2468530;2468530
8007156;Tipo_P_2838;0;0;2974040,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2974040,96;0;0;0;2974040,96
8007591;Tipo_P_391;0;0;0;540000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540000;0;0;540000
8008386;Tipo_P_64571;0;0;0;0;0;0;0;3108000;0;0;0;0;0;0;0;0;0;0;0;3108000;0;0;3108000
8009135;Tipo_P_428;0;0;0;0;0;0;2554694;0;0;0;0;0;0;0;0;0;0;0;2554694;0;0;0;2554694
8009312;Tipo_PN_34435;0;0;3750716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3750716;3750716
8011341;Tipo_P_981;0;0;0;891944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;891944;0;0;0;891944
8011366;Tipo_P_1778;0;0;0;2424420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2424420;0;0;2424420
8013984;Tipo_PN_34329;305100;0;0;0;0;0;0;0;0;0;0;0;0;305100;0;0;0;0;0;0;0;0;305100
8014017;Tipo_P_989;0;0;0;860287,12;0;0;0;0;0;0;256787,12;0;0;0;0;0;0;0;0;603500;0;0;860287,12
8014065;Tipo_P_1480;0;2581753;0;0;0;0;0;0;0;0;0;0;0;0;0;2581753;0;0;0;0;0;0;2581753
8015760;Tipo_P_1947;0;0;0;0;0;0;2310000;0;0;0;0;0;0;0;0;0;0;0;2310000;0;0;0;2310000
8016315;Tipo_P_822;0;0;0;2973194;0;1306320;583775;0;0;0;0;0;0;0;0;0;0;0;1571245;3292044;0;0;4863289
8016595;Tipo_P_699;0;0;0;0;0;0;21271476;0;0;0;0;0;0;0;0;3505650;0;0;1605375;16160451;0;0;21271476
8017986;Tipo_P_64646;0;0;0;13491596;0;0;0;0;0;0;0;0;0;0;0;7406050;0;0;0;6085546;0;0;13491596
8018668;Tipo_P_690;0;-87955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-87955;0;0;-87955
8019942;Tipo_PN_34361;0;0;425002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425002;425002
8020080;Tipo_P_297;0;7601129;1489412;83845966;0;0;29631304;2420292;0;0;0;0;0;0;0;64314264;0;0;0;60673839;0;0;124988103
8020378;Tipo_P_64616;0;0;0;960000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;960000;0;0;960000
8022268;Tipo_P_4417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700000;-700000;0;0;0;0;0;0;0
8023263;Tipo_PN_34079;0;2569710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2569710;2569710
8023295;Tipo_PN_45;0;0;0;0;0;0;734748;0;0;0;0;0;0;0;0;734748;0;0;0;0;0;0;734748
8025130;Tipo_P_1115;0;0;0;0;0;0;826287;0;0;0;0;0;0;0;0;0;0;0;0;826287;0;0;826287
8026239;Tipo_P_1508;0;0;6252118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6252118;0;0;6252118
8026574;Tipo_P_64810;0;1398858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1398858;0;0;0;1398858
8028053;Tipo_PN_44;0;206727;0;0;0;0;0;0;0;0;0;0;0;0;0;206727;0;0;0;0;0;0;206727
8029711;Tipo_PN_34405;0;0;0;10039719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10039719;0;0;10039719
8030058;Tipo_P_2830;0;0;0;3117334;0;0;0;0;0;0;0;0;0;0;0;3117334;0;0;0;0;0;0;3117334
8030458;Tipo_P_1045;0;0;0;0;0;0;318780;0;0;0;0;0;0;0;0;0;0;0;0;318780;0;0;318780
8033026;Tipo_P_80;0;0;0;460444;0;0;7530588;0;0;0;460444;0;0;0;0;0;0;0;3784181;3746407;0;0;7991032
8033294;Tipo_P_64765;0;0;0;0;0;0;550000;0;0;0;0;0;0;0;0;0;0;0;0;550000;0;0;550000
8033883;Tipo_P_669;0;0;0;8345686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8345686;0;0;8345686
8033916;Tipo_N_40;0;10516558;25738368;9994982;0;0;274945206;0;0;0;4564860;0;0;0;0;48223301;0;0;41206840;227200113;0;0;321195114
8034620;Tipo_PN_34470;0;719909,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719909,11;719909,11
8034858;Tipo_P_324;0;0;0;2863307;0;0;27182876;0;0;0;0;0;0;0;0;1805996;0;0;23164381;5075806;0;0;30046183
8035218;Tipo_PN_34249;0;1130564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1130564;1130564
8036049;Tipo_P_883;0;0;0;0;0;0;5293637;0;1749000;0;0;0;0;0;0;1843875;0;0;4844065;354697;0;0;7042637
